1552679598.902943411, Reeti takes a break
1552679673.297485334, exp1 ok mode
1552679673.800553857, face tracking ,on,
1552679677.303443086, reeti turn to, 0
1552679677.803536909, rand_num=1
1552679677.871509228, show, u ,on, 0
1552679678.944251321, user pressed, u
1552679680.449643700, face tracking ,on,
1552679683.952659544, reeti turn to, 1
1552679684.452769011, rand_num=3
1552679684.520239700, show, u ,on, 1
1552679685.600618206, user pressed, u
1552679687.106516960, face tracking ,on,
1552679690.609304341, reeti turn to, 0
1552679691.109440804, rand_num=2
1552679691.170478819, show, v ,on, 0
1552679692.000598671, user pressed, v
1552679693.506356281, face tracking ,on,
1552679697.009061062, reeti turn to, 0
1552679697.509183493, rand_num=2
1552679697.570863357, show, v ,on, 0
1552679698.437320759, user pressed, v
1552679699.942422080, face tracking ,on,
1552679703.445072114, reeti turn to, 1
1552679703.945186844, rand_num=3
1552679704.020252710, show, u ,on, 1
1552679704.966315088, user pressed, u
1552679706.477915160, face tracking ,on,
1552679709.981292108, reeti turn to, 0
1552679710.481416648, rand_num=2
1552679710.570204075, show, v ,on, 0
1552679711.291083266, user pressed, v
1552679712.796812974, face tracking ,on,
1552679716.299542779, reeti turn to, 1
1552679716.799663937, rand_num=3
1552679716.869570460, show, u ,on, 1
1552679717.543769303, user pressed, u
1552679719.049523393, face tracking ,on,
1552679722.552637284, reeti turn to, 0
1552679723.052705820, rand_num=1
1552679723.119602527, show, u ,on, 0
1552679724.541146524, user pressed, u
1552679726.046684554, face tracking ,on,
1552679729.549960796, reeti turn to, 1
1552679730.050091022, rand_num=4
1552679730.120814838, show, v ,on, 1
1552679730.765231417, user pressed, v
1552679732.270605468, face tracking ,on,
1552679735.774331056, reeti turn to, 0
1552679736.274595263, rand_num=2
1552679736.370435403, show, v ,on, 0
1552679737.070505679, user pressed, v
1552679787.680453473, exp1 f mode
1552679788.180567423, face tracking ,off
1552679791.683716107, reeti turn to, 1
1552679792.183846606, rand_num=2
1552679792.270466423, show, v ,on, 0
1552679792.928636845, user pressed, v
1552679794.434486230, face tracking ,off
1552679797.937803685, reeti turn to, 1
1552679798.437954125, rand_num=1
1552679798.521600738, show, u ,on, 0
1552679799.346552384, user pressed, u
1552679800.849315530, face tracking ,off
1552679804.352261486, reeti turn to, 1
1552679804.852403517, rand_num=4
1552679804.919789766, show, v ,on, 1
1552679805.605165285, user pressed, v
1552679807.108232446, face tracking ,off
1552679810.611297300, reeti turn to, 0
1552679811.111457511, rand_num=3
1552679811.171092400, show, u ,on, 1
1552679811.803126241, user pressed, u
1552679813.305708746, face tracking ,off
1552679816.808439035, reeti turn to, 0
1552679817.308560243, rand_num=3
1552679817.371823864, show, u ,on, 1
1552679817.931326316, user pressed, u
1552679819.435476460, face tracking ,off
1552679822.938869048, reeti turn to, 0
1552679823.438967635, rand_num=1
1552679823.520434290, show, u ,on, 0
1552679824.391397896, user pressed, u
1552679825.894467768, face tracking ,off
1552679829.397413690, reeti turn to, 1
1552679829.897534658, rand_num=4
1552679829.970144399, show, v ,on, 1
1552679830.660261440, user pressed, v
1552679832.163431766, face tracking ,off
1552679835.666393645, reeti turn to, 0
1552679836.166531975, rand_num=1
1552679836.220712354, show, u ,on, 0
1552679836.912179539, user pressed, u
1552679838.415164352, face tracking ,off
1552679841.918675471, reeti turn to, 0
1552679842.418830699, rand_num=1
1552679842.520017732, show, u ,on, 0
1552679843.222875802, user pressed, u
