1555510414.617321547, user pressed, v
1555510527.912804926, exp1 ok mode
1555510528.415612522, face tracking ,on,
1555510531.918922841, reeti turn to, 1
1555510532.419067408, rand_num=4
1555510532.519261395, show, v ,on, 1
1555510533.369895040, user pressed, v
1555510534.877191525, face tracking ,on,
1555510538.380715344, reeti turn to, 0
1555510538.880852654, rand_num=2
1555510538.969330832, show, v ,on, 0
1555510539.737125726, user pressed, v
1555510541.242942339, face tracking ,on,
1555510544.746073273, reeti turn to, 1
1555510545.246212367, rand_num=4
1555510545.319208131, show, v ,on, 1
1555510546.005558624, user pressed, v
1555510547.511453345, face tracking ,on,
1555510551.014471361, reeti turn to, 0
1555510551.514612888, rand_num=1
1555510551.568328439, show, u ,on, 0
1555510552.020799352, user pressed, u
1555510553.529676100, face tracking ,on,
1555510557.033090396, reeti turn to, 0
1555510557.533265883, rand_num=1
1555510557.619586219, show, u ,on, 0
1555510558.241001435, user pressed, u
1555510559.747274249, face tracking ,on,
1555510563.250890579, reeti turn to, 1
1555510563.751005403, rand_num=4
1555510563.819214314, show, v ,on, 1
1555510564.285928496, user pressed, v
1555510565.791730190, face tracking ,on,
1555510569.295055640, reeti turn to, 1
1555510569.795121571, rand_num=4
1555510569.869122352, show, v ,on, 1
1555510570.441508471, user pressed, v
1555510571.947465994, face tracking ,on,
1555510575.450047806, reeti turn to, 0
1555510575.950174966, rand_num=1
1555510576.019902963, show, u ,on, 0
1555510576.495436870, user pressed, u
1555510578.001561668, face tracking ,on,
1555510581.504981842, reeti turn to, 1
1555510582.005074629, rand_num=3
1555510582.068562990, show, u ,on, 1
1555510582.741786889, user pressed, u
1555510584.247643334, face tracking ,on,
1555510587.750576735, reeti turn to, 0
1555510588.250698618, rand_num=1
1555510588.319531436, show, u ,on, 0
1555510589.001099808, user pressed, u
1555510628.908437409, exp1 f mode
1555510629.408568952, face tracking ,off
1555510632.911834191, reeti turn to, 1
1555510633.411968607, rand_num=2
1555510633.469061326, show, v ,on, 0
1555510634.467285012, user pressed, v
1555510635.971492508, face tracking ,off
1555510639.476302940, reeti turn to, 1
1555510639.976451435, rand_num=1
1555510640.068478301, show, u ,on, 0
1555510640.723477491, user pressed, u
1555510642.228057286, face tracking ,off
1555510645.731647842, reeti turn to, 1
1555510646.231838264, rand_num=3
1555510646.319451468, show, u ,on, 1
1555510647.019725631, user pressed, u
1555510648.523094453, face tracking ,off
1555510652.028396108, reeti turn to, 0
1555510652.528586650, rand_num=3
1555510652.618373633, show, u ,on, 1
1555510653.225461246, user pressed, u
1555510654.729765127, face tracking ,off
1555510658.232987253, reeti turn to, 1
1555510658.733128494, rand_num=2
1555510658.819395452, show, v ,on, 0
1555510659.483768259, user pressed, v
1555510660.987374859, face tracking ,off
1555510664.490455565, reeti turn to, 1
1555510664.990583514, rand_num=3
1555510665.069050145, show, u ,on, 1
1555510665.647987477, user pressed, u
1555510667.150919077, face tracking ,off
1555510670.654513107, reeti turn to, 1
1555510671.154630448, rand_num=1
1555510671.219911831, show, u ,on, 0
1555510671.962395917, user pressed, u
1555510673.466102701, face tracking ,off
1555510676.969447933, reeti turn to, 1
1555510677.469570054, rand_num=3
1555510677.568025903, show, u ,on, 1
1555510678.240883170, user pressed, u
1555510679.744036089, face tracking ,off
1555510683.248085782, reeti turn to, 0
1555510683.748264818, rand_num=2
1555510683.819950320, show, v ,on, 0
1555510684.505764980, user pressed, v
1555510686.008483168, face tracking ,off
1555510689.511733479, reeti turn to, 0
1555510690.011886148, rand_num=1
1555510690.069807822, show, u ,on, 0
1555510690.971989843, user pressed, u
1555510731.847533544, exp1 d mode
1555510732.351771254, face tracking ,on,
1555510735.855352984, reeti turn to, 0
1555510736.355480748, rand_num=3
1555510736.420392123, show, u ,on, 1
1555510737.656860597, user pressed, u
1555510739.162752775, face tracking ,on,
1555510742.666464030, reeti turn to, 1
1555510743.166635208, rand_num=3
1555510743.268085031, show, u ,on, 1
1555510743.886652916, user pressed, u
1555510745.392733980, face tracking ,on,
1555510748.895649498, reeti turn to, 0
1555510749.395768750, rand_num=3
1555510749.468587367, show, u ,on, 1
1555510750.378738190, user pressed, u
1555510751.887420632, face tracking ,on,
1555510755.390589186, reeti turn to, 0
1555510755.890717100, rand_num=2
1555510755.969284732, show, v ,on, 0
1555510756.605504811, user pressed, v
1555510758.111906644, face tracking ,on,
1555510761.615232181, reeti turn to, 1
1555510762.115364279, rand_num=3
1555510762.168709164, show, u ,on, 1
1555510762.956346353, user pressed, u
1555510764.462212779, face tracking ,on,
1555510767.966043426, reeti turn to, 1
1555510768.466198654, rand_num=3
1555510768.519265820, show, u ,on, 1
1555510769.559817786, user pressed, u
1555510771.066538364, face tracking ,on,
1555510774.570211460, reeti turn to, 1
1555510775.070336736, rand_num=2
1555510775.170151049, show, v ,on, 0
1555510789.796380355, user pressed, v
1555510791.302174021, face tracking ,on,
1555510794.805064233, reeti turn to, 0
1555510795.305214182, rand_num=1
1555510795.369116831, show, u ,on, 0
1555510796.151957684, user pressed, u
1555510797.657837198, face tracking ,on,
1555510801.160989806, reeti turn to, 1
1555510801.661128163, rand_num=3
1555510801.719091523, show, u ,on, 1
1555510802.292311424, user pressed, u
1555510803.798129540, face tracking ,on,
1555510807.300895062, reeti turn to, 1
1555510807.801019697, rand_num=4
1555510807.869467622, show, v ,on, 1
1555510808.873899163, user pressed, v
1555510844.213740872, exp1 d mode
1555510844.717303356, face tracking ,on,
1555510848.220877979, reeti turn to, 0
1555510848.721058213, rand_num=2
1555510848.818329510, show, v ,on, 0
1555510849.579143948, user pressed, v
1555510851.085837977, face tracking ,on,
1555510854.588874062, reeti turn to, 1
1555510855.089012151, rand_num=4
1555510855.168170628, show, v ,on, 1
1555510856.374014432, user pressed, v
1555510857.881700119, face tracking ,on,
1555510861.385086078, reeti turn to, 0
1555510861.885268563, rand_num=2
1555510861.968131020, show, v ,on, 0
1555510862.586413662, user pressed, v
1555510864.092194127, face tracking ,on,
1555510867.595154472, reeti turn to, 1
1555510868.095287047, rand_num=1
1555510868.169712759, show, u ,on, 0
1555510869.759540915, user pressed, u
1555510871.265930534, face tracking ,on,
1555510874.768758110, reeti turn to, 1
1555510875.268914927, rand_num=4
1555510875.367980953, show, v ,on, 1
1555510876.015229978, user pressed, v
1555510877.521502918, face tracking ,on,
1555510881.026080894, reeti turn to, 1
1555510881.526274137, rand_num=3
1555510881.619474467, show, u ,on, 1
1555510882.208969679, user pressed, u
1555510883.715488770, face tracking ,on,
1555510887.219083225, reeti turn to, 0
1555510887.719237423, rand_num=2
1555510887.819423568, show, v ,on, 0
1555510888.446762382, user pressed, v
1555510889.953144130, face tracking ,on,
1555510893.456151065, reeti turn to, 0
1555510893.956281529, rand_num=4
1555510894.019277491, show, v ,on, 1
1555510895.123749508, user pressed, u
1555510896.631903300, face tracking ,on,
1555510900.135116270, reeti turn to, 0
1555510900.635273284, rand_num=1
1555510900.719418556, show, u ,on, 0
1555510901.422373226, user pressed, u
1555510902.930197691, face tracking ,on,
1555510906.433435296, reeti turn to, 0
1555510906.933583699, rand_num=2
1555510907.018420589, show, v ,on, 0
1555510907.751924124, user pressed, v
1555510931.254172316, exp1 f mode
1555510931.754312940, face tracking ,off
1555510935.257385090, reeti turn to, 0
1555510935.757521207, rand_num=1
1555510935.819241615, show, u ,on, 0
1555510936.671589505, user pressed, u
1555510938.176114512, face tracking ,off
1555510941.679748138, reeti turn to, 1
1555510942.179923781, rand_num=4
1555510942.269488058, show, v ,on, 1
1555510942.846575142, user pressed, v
1555510944.350304615, face tracking ,off
1555510947.853716358, reeti turn to, 0
