1555690295.126428759, Reeti standby
1555690323.563103450, exp1 ok mode
1555690324.067055776, face tracking ,on,
1555690327.570466566, reeti turn to, 1
1555690328.070557006, rand_num=3
1555690328.153352863, show, u ,on, 1
1555690329.495912598, user pressed, v
1555690331.002131938, face tracking ,on,
1555690334.505811752, reeti turn to, 0
1555690335.006028210, rand_num=2
1555690335.104762955, show, v ,on, 0
1555690335.688581488, user pressed, v
1555690337.195391997, face tracking ,on,
1555690340.698907226, reeti turn to, 0
1555690341.199039784, rand_num=2
1555690341.254430801, show, v ,on, 0
1555690341.740521458, user pressed, v
1555690343.246460640, face tracking ,on,
1555690346.749132534, reeti turn to, 1
1555690347.249249329, rand_num=4
1555690347.303384096, show, v ,on, 1
1555690347.792176411, user pressed, v
1555690349.298044587, face tracking ,on,
1555690352.801319641, reeti turn to, 0
1555690353.301466922, rand_num=2
1555690353.403122190, show, v ,on, 0
1555690353.922278204, user pressed, v
1555690355.427747881, face tracking ,on,
1555690358.930464958, reeti turn to, 0
1555690359.430588621, rand_num=2
1555690359.504089115, show, v ,on, 0
1555690360.099952222, user pressed, v
1555690361.606205864, face tracking ,on,
1555690365.111031787, reeti turn to, 0
1555690365.611195949, rand_num=1
1555690365.703672018, show, u ,on, 0
1555690366.268931807, user pressed, u
1555690367.774217786, face tracking ,on,
1555690371.277810037, reeti turn to, 1
1555690371.777948708, rand_num=3
1555690371.852910394, show, u ,on, 1
1555690372.461627489, user pressed, u
1555690373.968527556, face tracking ,on,
1555690377.471620805, reeti turn to, 0
1555690377.971780298, rand_num=1
1555690378.053919052, show, u ,on, 0
1555690378.705465808, user pressed, u
1555690380.212525653, face tracking ,on,
1555690383.715238886, reeti turn to, 1
1555690384.215382362, rand_num=3
1555690384.302897315, show, u ,on, 1
1555690384.809579109, user pressed, u
1555690434.189538271, exp1 f mode
1555690434.689709499, face tracking ,off
1555690438.192793251, reeti turn to, 1
1555690438.692882933, rand_num=4
1555690438.754012840, show, v ,on, 1
1555690439.259130208, user pressed, v
1555690440.763228310, face tracking ,off
1555690444.266378130, reeti turn to, 1
1555690444.766541285, rand_num=2
