1555686064.216681388, user pressed, u
1555686491.207741366, exp1 ok mode
1555686491.711751266, face tracking ,on,
1555686495.218287606, reeti turn to, 1
1555686495.718525105, rand_num=4
1555686495.809413114, show, v ,on, 1
1555686497.396436783, user pressed, v
1555686498.902072959, face tracking ,on,
1555686502.404671990, reeti turn to, 1
1555686502.904763439, rand_num=3
1555686502.959552447, show, u ,on, 1
1555686504.613050816, user pressed, u
1555686506.122500874, face tracking ,on,
1555686509.628756941, reeti turn to, 0
1555686510.128890729, rand_num=2
1555686510.210846655, show, v ,on, 0
1555686511.622941812, user pressed, v
1555686513.133658710, face tracking ,on,
1555686516.636393943, reeti turn to, 1
1555686517.136502976, rand_num=4
1555686517.210268573, show, v ,on, 1
1555686518.595365101, user pressed, v
1555686520.101644018, face tracking ,on,
1555686523.604564082, reeti turn to, 0
1555686524.104684785, rand_num=2
1555686524.159234451, show, v ,on, 0
1555686525.824402921, user pressed, v
1555686527.333230503, face tracking ,on,
1555686530.835895925, reeti turn to, 0
1555686531.336014136, rand_num=2
1555686531.410192120, show, v ,on, 0
1555686532.391140090, user pressed, v
1555686533.897617998, face tracking ,on,
1555686537.401200950, reeti turn to, 0
1555686537.901331907, rand_num=2
1555686537.960023504, show, v ,on, 0
1555686538.872706299, user pressed, v
1555686540.379741336, face tracking ,on,
1555686543.882558326, reeti turn to, 1
1555686544.382687152, rand_num=4
1555686544.460721530, show, v ,on, 1
1555686545.349773540, user pressed, v
1555686546.860725802, face tracking ,on,
1555686550.364834777, reeti turn to, 0
1555686550.865075225, rand_num=2
1555686550.960502736, show, v ,on, 0
1555686551.825340077, user pressed, v
1555686553.331256165, face tracking ,on,
1555686556.833792663, reeti turn to, 0
1555686557.333914491, rand_num=2
1555686557.410406692, show, v ,on, 0
1555686558.168228394, user pressed, v
1555686673.341910426, exp1 f mode
1555686673.842001900, face tracking ,off
1555686677.344932607, reeti turn to, 1
1555686677.845070829, rand_num=1
1555686677.909345377, show, u ,on, 0
1555686679.094480370, user pressed, u
1555686680.597364575, face tracking ,off
1555686684.100401143, reeti turn to, 1
1555686684.600552188, rand_num=3
1555686684.659970749, show, u ,on, 1
1555686685.990907665, user pressed, u
1555686687.494619588, face tracking ,off
1555686690.997932640, reeti turn to, 1
1555686691.498056028, rand_num=4
1555686691.560623671, show, v ,on, 1
1555686692.857297453, user pressed, v
1555686694.360695957, face tracking ,off
1555686697.864918733, reeti turn to, 0
1555686698.365187143, rand_num=2
1555686698.459745480, show, v ,on, 0
1555686699.588055664, user pressed, v
1555686701.094743804, face tracking ,off
1555686704.597431993, reeti turn to, 0
1555686705.097559437, rand_num=1
1555686705.161347323, show, u ,on, 0
1555686706.047140907, user pressed, u
1555686707.550683850, face tracking ,off
1555686711.060086827, reeti turn to, 0
1555686711.560222739, rand_num=4
1555686711.660748905, show, v ,on, 1
1555686712.907881618, user pressed, v
1555686714.411076997, face tracking ,off
1555686717.915417731, reeti turn to, 1
1555686718.415623667, rand_num=1
1555686718.509576559, show, u ,on, 0
1555686719.466155493, user pressed, u
1555686720.969312761, face tracking ,off
1555686724.472478970, reeti turn to, 1
1555686724.972568352, rand_num=1
1555686725.060123466, show, u ,on, 0
1555686726.007584973, user pressed, u
1555686727.510962072, face tracking ,off
1555686731.017333104, reeti turn to, 0
1555686731.517502313, rand_num=4
1555686731.610411923, show, v ,on, 1
1555686732.405015911, user pressed, v
1555686733.908768487, face tracking ,off
1555686737.412521405, reeti turn to, 1
1555686737.912726719, rand_num=4
1555686738.010141807, show, v ,on, 1
1555686738.941063780, user pressed, v
1555686786.414166253, exp1 d mode
1555686786.918796508, face tracking ,on,
1555686790.428039901, reeti turn to, 1
1555686790.928184799, rand_num=3
1555686791.010060560, show, u ,on, 1
1555686792.057953788, user pressed, u
1555686793.565980132, face tracking ,on,
1555686797.069665834, reeti turn to, 1
1555686797.569865173, rand_num=1
1555686797.659285019, show, u ,on, 0
1555686798.700781727, user pressed, u
1555686800.206958445, face tracking ,on,
1555686803.710476276, reeti turn to, 0
1555686804.210639915, rand_num=1
1555686804.310696795, show, u ,on, 0
1555686805.127737260, user pressed, u
1555686806.633550850, face tracking ,on,
1555686810.136658491, reeti turn to, 1
1555686810.636737914, rand_num=3
1555686810.709866654, show, u ,on, 1
1555686811.556669316, user pressed, u
1555686813.065083437, face tracking ,on,
1555686816.569309932, reeti turn to, 0
1555686817.069491900, rand_num=1
1555686817.160387107, show, u ,on, 0
1555686817.925249677, user pressed, u
1555686819.432329674, face tracking ,on,
1555686822.934944553, reeti turn to, 1
1555686823.435010099, rand_num=3
