
1546013044.459374348, face tracking, off
1546013046.462606180, reeti turn to, 1
1546013046.462651051, 1, v
1546013048.825203093, user press, v
1546013050.579513376, exp1 f mode
1546013050.579561747, face tracking, off
1546013052.582778143, reeti turn to, 1
1546013052.582824795, 1, v
1546013054.854910410, user press, v
1546013056.469021123, exp1 f mode
1546013056.469106914, face tracking, off
1546013058.476086942, reeti turn to, 1
1546013058.476132030, 1, v
1546013060.554749748, user press, v
1546013062.040725325, exp1 f mode
1546013062.040752626, face tracking, off
1546013064.043450699, reeti turn to, 1
1546013064.043498890, 0, v
1546013066.079267030, user press, v
1546013067.896446087, exp1 f mode
1546013067.896477760, face tracking, off
1546013069.899384741, reeti turn to, 0
1546013069.899422980, 0, v
1546013071.996580379, user press, v
1546013073.924435755, exp1 f mode
1546013073.924541752, face tracking, off
1546013075.927461803, reeti turn to, 1
1546013075.927533500, 0, u
1546013078.011928007, user press, u
1546013080.324857475, exp1 f mode
1546013080.324959238, face tracking, off
1546013082.327675296, reeti turn to, 0
1546013082.327731247, 1, v
1546013084.484319495, user press, v
1546013086.369911317, exp1 f mode
1546013086.369947801, face tracking, off
1546013088.374738945, reeti turn to, 1
1546013088.374793564, 0, u
1546013099.659312398, user press, v
1546013101.631591783, exp1 f mode
1546013101.631620217, face tracking, off
1546013103.634321986, reeti turn to, 0
1546013103.634362554, 0, u
1546013105.862903219, user press, u
1546013107.775701162, exp1 f mode
1546013107.775751495, face tracking, off
1546013109.783394820, reeti turn to, 1
1546013109.783433262, 0, u
1546013112.038829839, user press, u
1546013113.911015054, exp1 f mode
1546013113.911140599, face tracking, off
1546013115.915561976, reeti turn to, 1
1546013115.915632979, 1, u
1546013118.272379443, user press, u
1546013119.860527916, Reeti takes a break
1546013146.982852532, Reeti standby
1546013149.022466715, exp1 f mode
1546013149.022513611, face tracking, off
1546013151.025399427, reeti turn to, 0
1546013151.025446156, 0, u
1546013153.309422114, user press, u
1546013154.809627440, exp1 f mode
1546013154.809693412, face tracking, off
1546013156.813336834, reeti turn to, 0
1546013156.813447412, 0, u
1546013159.130884129, user press, u
1546013160.785833675, exp1 f mode
1546013160.785869718, face tracking, off
1546013162.788765779, reeti turn to, 0
1546013162.788804793, 1, v
1546013164.861620274, user press, v
1546013166.930433988, exp1 f mode
1546013166.930493264, face tracking, off
1546013168.936534193, reeti turn to, 0
1546013168.936594009, 1, v
1546013170.894391552, user press, v
1546013172.509968832, exp1 f mode
1546013172.510016181, face tracking, off
1546013174.513827428, reeti turn to, 1
1546013174.513893942, 0, u
1546013176.335998426, user press, u
1546013178.119595735, exp1 f mode
1546013178.119656526, face tracking, off
1546013180.122300727, reeti turn to, 0
1546013180.122369601, 1, u
1546013181.786007235, user press, u
1546013183.453113538, exp1 f mode
1546013183.453146136, face tracking, off
1546013185.456067551, reeti turn to, 0
1546013185.456214667, 0, u
1546013187.064158982, user press, u
1546013188.750003629, exp1 f mode
1546013188.750030964, face tracking, off
1546013190.752630610, reeti turn to, 0
1546013190.752663015, 0, v
1546013192.857644299, user press, v
1546013195.083095242, exp1 f mode
1546013195.083120122, face tracking, off
1546013197.085886801, reeti turn to, 1
1546013197.085944334, 0, v
1546013199.252765726, user press, v
1546013201.483063295, exp1 f mode
1546013201.483099423, face tracking, off
1546013203.486013136, reeti turn to, 1
1546013203.486047896, 0, v
1546013205.649477821, user press, v
