1546974234.001057640, reeti turn to, 1
1546974234.001092128, 0, u
1546974235.748793931, user press, u
1546974237.765326791, face tracking, off
1546974239.768048226, reeti turn to, 0
1546974239.768079345, 0, u
1546974241.292629851, user press, u
1546974242.720966262, face tracking, off
1546974244.724132726, reeti turn to, 0
1546974244.724166053, 1, v
1546974246.349230968, user press, v
1546974248.052714653, face tracking, off
1546974250.055179034, reeti turn to, 0
1546974250.055205655, 1, v
1546974251.719182300, user press, v
1546974253.229320534, face tracking, off
1546974255.232569116, reeti turn to, 1
1546974255.232606458, 0, u
1546974257.073142603, user press, u
1546974258.549120629, face tracking, off
1546974260.551773120, reeti turn to, 0
1546974260.551888791, 0, v
1546974262.136243419, user press, v
1546974263.789729625, face tracking, off
1546974265.792729147, reeti turn to, 0
1546974265.792763779, 1, u
1546974267.424059090, user press, u
1546974267.431991388, face tracking, off
1546974269.434509808, reeti turn to, 0
1546974269.434542203, 0, v
1546974271.128564001, user press, v
1546974272.865107344, face tracking, off
1546974274.867464503, reeti turn to, 0
1546974274.867492718, 0, u
1546974276.575441395, user press, u
1546974278.245770680, face tracking, off
1546974280.248635392, reeti turn to, 0
1546974280.248667963, 0, v
1546974281.946869600, user press, v
1546974341.661973089, face tracking, off
1546974343.664567039, reeti turn to, 0
1546974343.664620210, 1, u
1546974345.331159617, user press, u
1546974346.669964671, face tracking, off
1546974348.673016737, reeti turn to, 0
1546974348.673045913, 1, u
1546974350.283154688, user press, u
1546974351.845030230, face tracking, off
1546974353.847813366, reeti turn to, 1
1546974353.847854290, 1, v
1546974355.538543013, user press, v
1546974357.133084185, face tracking, off
1546974359.136022556, reeti turn to, 1
1546974359.136082651, 1, u
1546974360.775996939, user press, u
1546974362.534638443, face tracking, off
1546974364.537439114, reeti turn to, 1
1546974364.537496959, 0, v
1546974366.484999807, user press, v
1546974367.972080362, face tracking, off
1546974369.975350489, reeti turn to, 0
1546974369.975387559, 1, u
1546974371.555094589, user press, u
1546974373.021747568, face tracking, off
1546974375.024053876, reeti turn to, 0
1546974375.024088108, 0, v
1546974376.586111539, user press, v
1546974377.989389400, face tracking, off
1546974379.992478387, reeti turn to, 0
1546974379.992511820, 1, u
1546974381.802300130, user press, u
1546974383.477181035, face tracking, off
1546974385.479615980, reeti turn to, 1
1546974385.479671847, 1, u
1546974387.153365061, user press, u
1546974388.436162375, face tracking, off
1546974390.438832886, reeti turn to, 0
1546974390.438877959, 0, u
1546974392.001800034, user press, u
1546974430.949377294, face tracking, off
1546974432.951831064, reeti turn to, 0
1546974432.951859166, 1, u
1546974434.480104588, user press, u
1546974435.780604981, face tracking, off
1546974437.783343896, reeti turn to, 1
1546974437.783373879, 1, u
1546974439.370988807, user press, u
1546974441.012574252, face tracking, off
1546974443.015275878, reeti turn to, 1
1546974443.015311669, 0, u
1546974444.628677105, user press, u
1546974446.380666099, face tracking, off
1546974448.383020831, reeti turn to, 1
1546974448.383056785, 1, u
1546974450.003429662, user press, u
1546974451.612702412, face tracking, off
1546974453.615021891, reeti turn to, 1
1546974453.615050719, 1, v
1546974455.122789038, user press, v
1546974457.484116291, face tracking, off
1546974459.486887454, reeti turn to, 0
1546974459.486922551, 1, v
1546974461.450622760, user press, v
1546974462.964787030, face tracking, off
1546974464.967294299, reeti turn to, 1
1546974464.967331469, 0, v
1546974466.750913519, user press, v
1546974468.300318956, face tracking, off
1546974470.304683069, reeti turn to, 0
1546974470.304746258, 0, u
1546974472.022285574, user press, u
1546974473.341646158, face tracking, off
1546974475.344304605, reeti turn to, 0
1546974475.344339985, 0, v
1546974476.999965202, user press, v
1546974478.829068061, face tracking, off
1546974480.831529354, reeti turn to, 0
1546974480.831558248, 0, v
1546974482.364202553, user press, v
1546974539.623612136, face tracking, on
1546974541.627041901, reeti turn to, 1
1546974541.627070905, 0, v
1546974543.242153689, user press, v
1546974544.800981432, face tracking, on
1546974546.803866997, reeti turn to, 0
1546974546.803890054, 1, v
1546974548.424635021, user press, v
1546974549.807548638, face tracking, on
1546974551.810190206, reeti turn to, 0
1546974551.810217193, 0, u
1546974553.462597796, user press, u
1546974555.158558899, face tracking, on
1546974557.161197518, reeti turn to, 0
1546974557.161239020, 1, v
1546974558.732662357, user press, v
1546974560.168523554, face tracking, on
1546974562.171007290, reeti turn to, 1
1546974562.171034687, 1, v
1546974563.791985811, user press, v
1546974565.358502974, face tracking, on
1546974567.361885110, reeti turn to, 1
1546974567.361919555, 0, v
1546974568.950820711, user press, v
1546974570.592045677, face tracking, on
1546974572.594818258, reeti turn to, 1
1546974572.594851615, 1, v
1546974574.164520421, user press, v
1546974575.887353582, face tracking, on
1546974577.890124540, reeti turn to, 0
1546974577.890154741, 1, u
1546974579.387681187, user press, u
1546974580.895009294, face tracking, on
1546974582.897600982, reeti turn to, 0
1546974582.897635809, 0, u
1546974584.445836158, user press, u
1546974585.793221054, face tracking, on
1546974587.795461351, reeti turn to, 0
1546974587.795490576, 0, u
1546974589.399329994, user press, u
1546974606.015660236, face tracking, on
1546974608.017994891, reeti turn to, 1
1546974608.018045631, 0, u
1546974609.724603849, user press, u
1546974611.143507871, face tracking, on
1546974613.146535339, reeti turn to, 0
1546974613.146577422, 0, u
1546974614.619265240, user press, u
1546974616.167967165, face tracking, on
1546974618.171081259, reeti turn to, 1
1546974618.171132856, 1, v
1546974619.800443189, user press, v
1546974621.231203397, face tracking, on
1546974623.234293906, reeti turn to, 0
1546974623.234330718, 0, v
1546974624.765220192, user press, v
1546974626.119243649, face tracking, on
1546974628.121661328, reeti turn to, 0
1546974628.121693604, 0, u
1546974629.649127468, user press, u
1546974631.070546409, face tracking, on
1546974633.073097784, reeti turn to, 1
1546974633.073126602, 0, v
1546974634.881475385, user press, v
1546974636.670312935, face tracking, on
1546974638.672825909, reeti turn to, 1
1546974638.672854805, 0, u
1546974640.586561018, user press, u
1546974642.078623799, face tracking, on
1546974644.081293192, reeti turn to, 1
1546974644.081353678, 1, u
1546974645.813266989, user press, u
1546974647.415570787, face tracking, on
1546974649.419062244, reeti turn to, 0
1546974649.419099689, 0, u
1546974651.229948376, user press, u
1546974652.368362179, face tracking, on
1546974654.370894845, reeti turn to, 1
1546974654.370918802, 0, v
1546974655.831522538, user press, v
1546974666.303039559, face tracking, on
1546974668.305638785, reeti turn to, 1
1546974668.305672722, 1, v
1546974669.953482614, user press, v
1546974671.559020474, face tracking, on
1546974673.561696953, reeti turn to, 0
1546974673.561731277, 0, v
1546974675.001236567, user press, v
1546974676.665061945, face tracking, on
1546974678.667420579, reeti turn to, 0
1546974678.667452039, 1, v
1546974680.307677091, user press, v
1546974682.078447541, face tracking, on
1546974684.080890280, reeti turn to, 1
1546974684.080923881, 1, u
1546974685.731469975, user press, u
1546974687.479253890, face tracking, on
1546974689.482087327, reeti turn to, 0
1546974689.482114923, 1, u
1546974691.390901721, user press, u
1546974693.030736087, face tracking, on
1546974695.033179594, reeti turn to, 1
1546974695.033223691, 0, u
1546974696.853199722, user press, u
1546974698.504274504, face tracking, on
1546974700.506647696, reeti turn to, 0
1546974700.506682937, 0, v
1546974702.063578941, user press, v
1546974703.477800527, face tracking, on
1546974705.480408877, reeti turn to, 1
1546974705.480434539, 1, u
1546974707.062925195, user press, u
1546974709.142438307, face tracking, on
1546974711.145308928, reeti turn to, 1
1546974711.145339876, 1, u
1546974712.711022518, user press, u
1546974714.310839288, face tracking, on
1546974716.313225451, reeti turn to, 0
1546974716.313249811, 0, u
1546974717.945056935, user press, u
1546974801.972203717, face tracking, off
1546974803.974660165, reeti turn to, 1
1546974803.974688637, 0, v
1546974805.526868764, user press, v
1546974806.987141626, face tracking, off
1546974808.989529857, reeti turn to, 1
1546974808.989559813, 0, v
1546974810.548242955, user press, v
1546974812.004107717, face tracking, off
1546974814.006517049, reeti turn to, 1
1546974814.006556410, 0, u
1546974815.658988836, user press, u
1546974817.306990045, face tracking, off
1546974819.309858763, reeti turn to, 0
1546974819.309890786, 0, u
1546974820.932769489, user press, u
1546974822.171159646, face tracking, off
1546974824.174056760, reeti turn to, 0
1546974824.174089589, 1, v
1546974825.840865772, user press, v
1546974827.243850812, face tracking, off
1546974829.247582573, reeti turn to, 1
1546974829.247650419, 1, u
1546974830.822789171, user press, u
1546974832.195808311, face tracking, off
1546974834.198660505, reeti turn to, 0
1546974834.198694263, 1, v
1546974836.147555270, user press, v
1546974837.669279798, face tracking, off
1546974839.672303600, reeti turn to, 0
1546974839.672348404, 0, v
1546974841.553811702, user press, v
1546974842.966722608, face tracking, off
1546974844.969176989, reeti turn to, 0
1546974844.969213842, 1, u
1546974846.681850176, user press, u
1546974847.980322138, face tracking, off
1546974849.983106438, reeti turn to, 0
