1545340950.138510062, 0, u
1545340952.646918875, user press, u
1545340954.436756746, face tracking, off
1545340956.439529067, reeti turn to, 1
1545340956.439574953, 0, v
1545340959.092019940, user press, v
1545340960.580173916, face tracking, off
1545340962.582864326, reeti turn to, 0
1545340962.582901863, 0, v
1545340965.179601642, user press, v
1545340966.613947879, face tracking, off
1545340968.616505270, reeti turn to, 0
1545340968.616536682, 1, v
1545340971.020463970, user press, v
1545341015.216755725, face tracking, on
1545341017.219506732, reeti turn to, 1
1545341017.219554539, 0, u
1545341019.644870136, user press, u
1545341021.116572194, face tracking, on
1545341023.119887943, reeti turn to, 0
1545341023.119950735, 1, u
1545341025.664827745, user press, u
1545341026.925147182, face tracking, on
1545341028.927672857, reeti turn to, 1
1545341028.927708465, 1, v
1545341031.372623333, user press, v
1545341033.058432212, face tracking, on
1545341035.061570521, reeti turn to, 0
1545341035.061611262, 0, u
1545341037.516199998, user press, u
1545341039.041879821, face tracking, on
1545341041.044480469, reeti turn to, 0
1545341041.044509253, 0, u
1545341043.409635169, user press, u
1545341045.102468229, face tracking, on
1545341047.105113506, reeti turn to, 1
1545341047.105147054, 1, v
1545341049.570946545, user press, v
1545341051.051737429, face tracking, on
1545341053.054272994, reeti turn to, 0
1545341053.054329532, 1, u
1545341055.467950744, user press, u
1545341057.022906652, face tracking, on
1545341059.025389356, reeti turn to, 0
1545341059.025425717, 1, v
1545341061.265740962, user press, v
1545341062.668670996, face tracking, on
1545341064.671161405, reeti turn to, 1
1545341064.671197479, 1, u
1545341066.979079730, user press, u
1545341068.745162186, face tracking, on
1545341070.747877877, reeti turn to, 0
1545341070.747913735, 0, u
1545341073.097442746, user press, u
1545341074.708871629, face tracking, on
1545341076.711958031, reeti turn to, 0
1545341076.711996861, 1, v
1545341079.134453957, user press, v
1545341080.881026541, face tracking, on
1545341082.883995434, reeti turn to, 0
1545341082.884025810, 0, v
1545341085.485546007, user press, v
1545341112.707103178, face tracking, on
1545341114.709412916, reeti turn to, 1
1545341114.709453247, 1, u
1545341117.146262947, user press, u
1545341119.075856737, face tracking, on
1545341121.078436728, reeti turn to, 1
1545341121.078468427, 1, v
1545341123.455122967, user press, v
1545341125.706150837, face tracking, on
1545341127.709532314, reeti turn to, 0
1545341127.709604632, 0, u
1545341130.267274480, user press, u
1545341132.066065913, face tracking, on
1545341134.068619462, reeti turn to, 0
1545341134.068651085, 0, u
1545341136.477770959, user press, u
1545341137.890148753, face tracking, on
1545341139.892704186, reeti turn to, 1
1545341139.892755515, 0, u
1545341142.365789266, user press, u
1545341144.285165740, face tracking, on
1545341146.287393917, reeti turn to, 0
1545341146.287421182, 1, v
1545341148.712863689, user press, v
1545341150.140000649, face tracking, on
1545341152.142885795, reeti turn to, 0
1545341152.142915766, 1, v
1545341154.585113105, user press, v
1545341156.160825626, face tracking, on
1545341158.163759919, reeti turn to, 0
1545341158.163788007, 0, v
1545341160.844926404, user press, v
1545341162.239820829, face tracking, on
1545341164.242768912, reeti turn to, 0
1545341164.242802923, 0, v
1545341166.525371554, user press, v
1545341179.229761726, face tracking, on
1545341181.232526768, reeti turn to, 1
1545341181.232590395, 1, v
1545341183.792813937, user press, v
1545341185.573293994, face tracking, on
1545341187.575865290, reeti turn to, 1
1545341187.575902041, 1, u
1545341189.864405751, user press, u
1545341191.512765099, face tracking, on
1545341193.515308957, reeti turn to, 1
1545341193.515336923, 1, u
1545341195.925087437, user press, u
1545341197.555419648, face tracking, on
1545341199.558576244, reeti turn to, 0
1545341199.558645891, 1, v
1545341201.905374198, user press, v
1545341203.330573607, face tracking, on
1545341205.333169630, reeti turn to, 1
1545341205.333200518, 1, v
1545341207.582200150, user press, v
1545341209.130099707, face tracking, on
1545341211.132391821, reeti turn to, 0
1545341211.132423824, 0, v
1545341213.447453094, user press, v
1545341215.028978950, face tracking, on
1545341217.031515707, reeti turn to, 1
1545341217.031548783, 1, u
1545341219.573688603, user press, u
1545341220.888962537, face tracking, on
1545341222.891641591, reeti turn to, 0
1545341222.891675977, 0, v
1545341225.519396288, user press, v
1545341226.860048883, face tracking, on
1545341228.862659292, reeti turn to, 1
1545341228.862695662, 1, u
1545341231.365648684, user press, u
1545341232.974712014, face tracking, on
1545341234.977435938, reeti turn to, 0
1545341234.977472709, 1, u
1545341237.523740969, user press, u
1545341414.909878374, face tracking, on
1545341416.912395018, reeti turn to, 0
1545341416.912438360, 0, u
1545341422.496984734, user press, v
1545341423.922717357, user press, v
1545341424.337073718, user press, v
1545341424.617024649, user press, v
1545341568.954344728, face tracking, off
1545341570.956960667, reeti turn to, 0
1545341570.957002038, 0, u
1545341573.491645770, user press, u
1545341575.132287035, face tracking, off
1545341577.134610124, reeti turn to, 1
1545341577.134646616, 0, u
1545341579.646438343, user press, u
1545341581.123198951, face tracking, off
1545341583.126110101, reeti turn to, 1
1545341583.126152998, 0, v
1545341585.561771624, user press, v
1545341587.100894041, face tracking, off
1545341589.103530625, reeti turn to, 0
1545341589.103561239, 1, u
1545341591.572290414, user press, u
1545341593.063032436, face tracking, off
1545341595.065852354, reeti turn to, 0
1545341595.065883765, 1, v
1545341597.527229983, user press, v
1545341599.168998588, face tracking, off
1545341601.171552350, reeti turn to, 1
1545341601.171579717, 1, u
1545341603.521099773, user press, u
1545341605.680520557, face tracking, off
1545341607.683347182, reeti turn to, 0
1545341607.683378842, 1, v
1545341610.029275885, user press, v
1545341611.961535389, face tracking, off
1545341613.963910661, reeti turn to, 1
1545341613.963946655, 1, v
1545341616.292238675, user press, v
1545341617.825915469, face tracking, off
1545341619.829833664, reeti turn to, 0
1545341619.829914632, 0, u
1545341622.424441922, user press, u
1545341623.834602976, face tracking, off
1545341625.837802634, reeti turn to, 0
1545341625.837872037, 0, v
1545341628.474362105, user press, v
1545341642.518816286, face tracking, on
1545341644.521751976, reeti turn to, 0
1545341644.521777094, 1, v
1545341646.870934661, user press, v
1545341648.175624023, face tracking, on
1545341650.177929340, reeti turn to, 0
1545341650.177953317, 1, v
1545341652.583937560, user press, v
1545341654.375785239, face tracking, on
1545341656.378142869, reeti turn to, 1
1545341656.378169641, 0, v
1545341658.959868558, user press, v
1545341660.454871416, face tracking, on
1545341662.457860930, reeti turn to, 0
1545341662.457910711, 1, v
1545341665.064140293, user press, v
1545341666.601334326, face tracking, on
1545341668.604170090, reeti turn to, 0
1545341668.604198548, 1, v
1545341671.396407333, user press, v
1545341673.065778036, face tracking, on
1545341675.068708601, reeti turn to, 0
1545341675.068752471, 0, u
1545341677.682806884, user press, u
1545341679.339908499, face tracking, on
1545341681.342710860, reeti turn to, 0
1545341681.342740710, 1, u
1545341684.110702073, user press, u
1545341685.575988447, face tracking, on
1545341687.578606481, reeti turn to, 0
1545341687.578647463, 1, u
1545341690.552524539, user press, u
1545341691.948331281, face tracking, on
1545341693.951284914, reeti turn to, 1
1545341693.951322831, 1, v
1545341696.509917274, user press, v
1545341697.837659933, face tracking, on
1545341699.840374492, reeti turn to, 1
1545341699.840407948, 1, u
1545341702.086845891, user press, u
1545341703.499743865, face tracking, on
1545341705.502628263, reeti turn to, 1
1545341705.502653859, 0, v
1545341707.993998225, user press, v
1545341732.153816495, face tracking, off
1545341734.156832522, reeti turn to, 0
1545341734.156864494, 1, v
1545341736.803899123, user press, v
1545341738.135532409, face tracking, off
1545341740.138178151, reeti turn to, 0
1545341740.138220523, 0, u
1545341742.678720007, user press, u
1545341744.037888883, face tracking, off
1545341746.040440760, reeti turn to, 0
1545341746.040474923, 0, u
1545341748.410109073, user press, u
1545341749.855541130, face tracking, off
1545341751.858040888, reeti turn to, 0
1545341751.858066213, 1, v
1545341754.165758365, user press, v
1545341755.788040241, face tracking, off
1545341757.790717016, reeti turn to, 0
1545341757.790750951, 0, v
1545341760.331621836, user press, v
1545341761.764830291, face tracking, off
1545341763.767978429, reeti turn to, 0
1545341763.768011587, 1, u
1545341766.133501639, user press, u
1545341767.879695550, face tracking, off
1545341769.882394414, reeti turn to, 1
1545341769.882424680, 0, u
1545341772.403983687, user press, u
1545341773.932495528, face tracking, off
1545341775.935508367, reeti turn to, 0
1545341775.935587794, 0, u
1545341778.602180464, user press, u
1545341780.333818381, face tracking, off
1545341782.336217089, reeti turn to, 0
1545341782.336262655, 1, u
1545341784.864749194, user press, u
1545341786.317374350, face tracking, off
1545341788.320062638, reeti turn to, 1
1545341788.320100907, 1, u
1545341790.799445982, user press, u
1545341803.480011221, face tracking, off
1545341805.482732507, reeti turn to, 0
1545341805.482781363, 0, v
1545341808.159941206, user press, v
1545341809.618107336, face tracking, off
1545341811.620654998, reeti turn to, 1
1545341811.620688125, 0, v
1545341814.070807852, user press, v
1545341815.742587391, face tracking, off
1545341817.745393942, reeti turn to, 0
1545341817.745437346, 0, u
1545341820.306296923, user press, u
1545341821.801700819, face tracking, off
1545341823.804163183, reeti turn to, 1
1545341823.804198589, 1, u
1545341826.274628516, user press, u
1545341827.664319631, face tracking, off
1545341829.667214831, reeti turn to, 1
1545341829.667252904, 0, v
1545341832.002858791, user press, v
1545341833.550920149, face tracking, off
1545341835.554289315, reeti turn to, 0
1545341835.554358028, 1, v
1545341837.998813114, user press, v
1545341839.413479424, face tracking, off
1545341841.416399997, reeti turn to, 0
1545341841.416425861, 0, v
1545341843.969532246, user press, v
1545341845.768574429, face tracking, off
1545341847.771924501, reeti turn to, 1
1545341847.771968822, 1, v
1545341850.192798444, user press, v
1545341851.568507527, face tracking, off
1545341853.574415056, reeti turn to, 0
1545341853.574459580, 0, u
1545341855.959459411, user press, u
1545341857.541858752, face tracking, off
1545341859.544622766, reeti turn to, 1
1545341859.544654517, 0, u
1545341861.954454935, user press, u
1545341878.510629045, face tracking, off
1545341880.513366959, reeti turn to, 1
1545341880.513399836, 0, v
1545341882.769927268, user press, v
1545341884.112538442, face tracking, off
1545341886.115358276, reeti turn to, 1
1545341886.115401638, 0, u
1545341888.621289238, user press, u
1545341890.113672056, face tracking, off
1545341892.116291420, reeti turn to, 0
1545341892.116322413, 0, u
1545341894.829455212, user press, u
1545341896.316507766, face tracking, off
1545341898.319059380, reeti turn to, 1
1545341898.319087620, 0, v
1545341900.950114813, user press, v
1545341902.437726059, face tracking, off
1545341904.440785875, reeti turn to, 1
1545341904.440843684, 0, u
1545341907.212478077, user press, u
1545341908.705044159, face tracking, off
1545341910.707787580, reeti turn to, 0
1545341910.707811800, 1, u
1545341913.250817202, user press, u
1545341914.649305677, face tracking, off
1545341916.652257426, reeti turn to, 1
1545341916.652325761, 1, u
1545341919.168859586, user press, u
1545341920.486075153, face tracking, off
1545341922.488814710, reeti turn to, 1
1545341922.488843123, 0, v
1545341925.367723186, user press, u
1545341926.776107288, face tracking, off
1545341928.778342364, reeti turn to, 1
1545341928.778373683, 0, v
1545341931.392609379, user press, u
1545341932.792349433, face tracking, off
1545341934.795068967, reeti turn to, 1
1545341934.795101272, 0, v
1545341937.323697668, user press, v
1545341952.859022920, face tracking, off
1545341954.862282866, reeti turn to, 1
1545341954.862318945, 1, v
1545341957.404174208, user press, v
1545341958.842709954, face tracking, off
1545341960.845230394, reeti turn to, 0
1545341960.845261161, 1, v
1545341963.493902252, user press, v
1545341964.896474055, face tracking, off
1545341966.899169015, reeti turn to, 1
1545341966.899287790, 0, v
1545341969.498359133, user press, v
1545341970.981323261, face tracking, off
1545341972.983940719, reeti turn to, 1
1545341972.984068362, 1, v
1545341975.229990942, user press, v
1545341976.736005585, face tracking, off
1545341978.738410206, reeti turn to, 0
1545341978.738435386, 0, v
1545341981.475633560, user press, u
1545341982.991148137, face tracking, off
1545341984.994579939, reeti turn to, 1
1545341984.994612507, 0, u
1545341987.689447125, user press, u
1545341989.174797691, face tracking, off
1545341991.176983814, reeti turn to, 0
1545341991.177015820, 0, u
1545341993.646327005, user press, u
1545341994.826539963, face tracking, off
1545341996.829255249, reeti turn to, 0
1545341996.829287050, 0, v
1545341999.172512547, user press, v
1545342000.588425368, face tracking, off
1545342002.591178353, reeti turn to, 0
1545342002.591202750, 1, u
1545342005.073293651, user press, u
1545342006.676978460, face tracking, off
1545342008.679596090, reeti turn to, 1
1545342008.679628071, 1, v
1545342011.334099011, user press, v
1545342022.325089475, face tracking, on
1545342024.327990340, reeti turn to, 1
1545342024.328024865, 0, u
1545342026.867663896, user press, u
1545342028.221320974, face tracking, on
