 1547057048.059364397, Using transport "raw"
 1547057048.069342910, Using transport "raw"
 1547057197.549679933, 0 u
 1547057200.379575364, 0 u
 1547057202.589007600, 1 u
 1547057205.359213044, 1 v
 1547057208.476328641, 1 u
 1547057216.044945289, face tracking off
 1547057218.047856869, reeti turn to 0
 1547057218.047889614, 0 u
 1547057219.977018728, face tracking off
 1547057221.979802504, reeti turn to 0
 1547057221.979839944, 1 v
 1547057221.979943110, user pressed v
 1547057225.174778766, face tracking off
 1547057227.178134990, reeti turn to 1
 1547057227.178185087, 1 u
 1547057235.914681142, user pressed v
 1547057458.635122154, 0 u
 1547057460.817788263, user pressed u
 1547057462.556709548, 1 u
 1547057464.264547307, user pressed u
 1547057468.772528763, 0 u
 1547057470.309032056, user pressed v
 1547057472.559832806, 0 v
 1547057475.225304851, 1 v
 1547057477.395729061, 1 v
 1547057477.461011480, user pressed v
 1547057479.815352530, user pressed v
 1547057482.288714738, 0 v
 1547057554.553613551, face tracking on
 1547057556.556417366, reeti turn to 1
 1547057556.556443050, 1 v
 1547057558.361024701, user pressed v
 1547057560.629229653, face tracking on
 1547057562.632514341, reeti turn to 0
 1547057562.632560092, 0 u
 1547057564.381973936, user pressed u
 1547057566.565319843, face tracking on
 1547057568.568323000, reeti turn to 0
 1547057568.568355756, 1 u
 1547057570.454506514, user pressed u
 1547057572.442702371, face tracking on
 1547057574.445109455, reeti turn to 1
 1547057574.445137270, 0 u
 1547057576.292494578, user pressed u
 1547057578.303085896, face tracking on
 1547057580.306772920, reeti turn to 1
 1547057580.306833917, 0 u
 1547057582.230124651, user pressed u
 1547057584.369960200, face tracking on
 1547057586.373513148, reeti turn to 0
 1547057586.373542332, 1 v
 1547057588.067757067, user pressed v
 1547057589.856695384, face tracking on
 1547057591.859331322, reeti turn to 0
 1547057591.859362703, 1 v
 1547057593.809302087, user pressed v
 1547057595.651871800, face tracking on
 1547057597.655680935, reeti turn to 0
 1547057597.655707009, 0 u
 1547057599.508780819, user pressed u
 1547057601.455745849, face tracking on
 1547057603.458913377, reeti turn to 1
 1547057603.458952019, 0 v
 1547057606.400352768, user pressed v
 1547057608.148931970, face tracking on
 1547057610.151871807, reeti turn to 0
 1547057610.151906449, 1 u
 1547057612.235682790, user pressed u
 1547057648.013949261, face tracking on
 1547057650.016583738, reeti turn to 0
 1547057650.016613678, 0 u
 1547057651.581988871, user pressed u
 1547057653.353846820, face tracking on
 1547057655.356387579, reeti turn to 0
 1547057655.356415283, 0 u
 1547057657.102190281, user pressed u
 1547057658.895426295, face tracking on
 1547057660.898693876, reeti turn to 1
 1547057660.898733364, 1 v
 1547057662.654765755, user pressed v
 1547057664.431626644, face tracking on
 1547057666.434040189, reeti turn to 0
 1547057666.434071445, 0 v
 1547057668.146092278, user pressed v
 1547057670.231166411, face tracking on
 1547057672.233756370, reeti turn to 0
 1547057672.233791411, 0 v
 1547057673.983769537, user pressed v
 1547057675.744778107, face tracking on
 1547057677.747394667, reeti turn to 0
 1547057677.747426672, 0 u
 1547057679.531107205, user pressed u
 1547057681.051106631, face tracking on
 1547057683.053603211, reeti turn to 0
 1547057683.053651973, 0 u
 1547057684.610986855, user pressed u
 1547057686.581343656, face tracking on
 1547057688.583994676, reeti turn to 0
 1547057688.584024199, 0 u
 1547057690.265575667, user pressed u
 1547057692.110896082, face tracking on
 1547057694.113392061, reeti turn to 1
