;; This buffer is for text that is not saved, and for Lisp evaluation.
;; To create a file, visit it with C-x C-f and enter text in its buffer.

process[parser_server-1, started with pid3016]
process[blank_image-2, started with pid3017]
process[left_monitor-3, started with pid3023]
process[right_monitor-4, started with pid3037]
process[face_tracking-5, started with pid3044]
1545792721.348959805, 0, u
1545792723.905026238, user press, u
1545792725.645847528, Reeti takes a break
1545792788.849606430, exp1 f mode
1545792788.849633714, face tracking, off
1545792790.856952387, reeti turn to, 1
1545792790.856983814, 0, v
1545792793.498013158, user press, v
1545792795.346112539, exp1 f mode
1545792795.346228244, face tracking, off
1545792797.349458482, reeti turn to, 0
1545792797.349491664, 0, u
1545792800.596239326, user press, u
1545792802.575059567, exp1 f mode
1545792802.575100506, face tracking, off
1545792804.578032607, reeti turn to, 1
1545792804.578070744, 1, v
1545792807.099524590, user press, v
1545792808.902856867, exp1 f mode
1545792808.902888253, face tracking, off
1545792810.905883320, reeti turn to, 1
1545792810.905915544, 1, u
1545792813.291383083, user press, u
1545792815.416962762, exp1 f mode
1545792815.416994029, face tracking, off
1545792817.427416023, reeti turn to, 0
1545792817.427505539, 0, u
1545792820.060256052, user press, u
1545792822.308585725, exp1 f mode
1545792822.308694629, face tracking, off
1545792824.311413837, reeti turn to, 1
1545792824.311467229, 1, u
1545792826.894056133, user press, u
1545792828.438777976, exp1 f mode
1545792828.438822126, face tracking, off
1545792830.442107312, reeti turn to, 0
1545792830.442175163, 0, u
1545792832.894194580, user press, u
1545792834.826392313, exp1 f mode
1545792834.826473925, face tracking, off
1545792836.829571400, reeti turn to, 0
1545792836.829686774, 1, v
1545792839.135383203, user press, v
1545792840.720311400, exp1 f mode
1545792840.720342274, face tracking, off
1545792842.726523264, reeti turn to, 0
1545792842.726553577, 0, v
1545792845.270457031, user press, v
1545792847.071143630, Reeti takes a break
1545792860.539671726, exp1 f mode
1545792860.539708533, face tracking, off
1545792862.542993693, reeti turn to, 1
1545792862.543026573, 1, v
1545792864.946266213, user press, v
1545792867.130553095, exp1 f mode
1545792867.130601558, face tracking, off
1545792869.133447018, reeti turn to, 1
1545792869.133538503, 1, u
1545792871.659781967, user press, u
1545792873.540535369, exp1 f mode
1545792873.540658217, face tracking, off
1545792875.544410368, reeti turn to, 0
1545792875.544447311, 0, u
1545792877.867658767, user press, u
1545792879.405504517, exp1 f mode
1545792879.405538865, face tracking, off
1545792881.408315125, reeti turn to, 0
1545792881.408418467, 0, v
1545792883.734684600, user press, v
1545792885.763218724, exp1 f mode
1545792885.763258096, face tracking, off
1545792887.766170881, reeti turn to, 1
1545792887.766288036, 0, v
1545792890.189612211, user press, v
1545792891.978714430, exp1 f mode
1545792891.978771009, face tracking, off
1545792893.989565700, reeti turn to, 0
1545792893.989603803, 0, v
1545792896.312945485, user press, v
1545792898.130440859, exp1 f mode
1545792898.130529088, face tracking, off
1545792900.134158827, reeti turn to, 1
1545792900.134194767, 0, v
1545792902.542945444, user press, v
1545792904.287191219, exp1 f mode
1545792904.287362684, face tracking, off
1545792906.290821906, reeti turn to, 1
1545792906.290869842, 0, u
1545792908.543785412, user press, u
1545792910.434882209, exp1 f mode
1545792910.434987924, face tracking, off
1545792912.438200610, reeti turn to, 0
1545792912.438325055, 0, u
1545792914.832198723, user press, u
1545792916.357418845, exp1 f mode
1545792916.357449421, face tracking, off
1545792918.360177446, reeti turn to, 1
1545792918.360213139, 1, v
1545792920.849866609, user press, v
1545792922.791174744, Reeti takes a break
1545792968.659460886, Reeti standby
1545792969.841349468, exp1 f mode
1545792969.841387752, face tracking, off
1545792971.851435344, reeti turn to, 0
1545792971.851492191, 0, u
1545792974.457547581, user press, u
1545792975.925516287, exp1 f mode
1545792975.925548750, face tracking, off
1545792977.928274214, reeti turn to, 0
1545792977.928312496, 0, u
1545792980.154851782, user press, u
1545792981.337390362, exp1 f mode
1545792981.337423440, face tracking, off
1545792983.345328072, reeti turn to, 0
1545792983.345416852, 1, v
1545792985.681611638, user press, v
1545792987.141480822, exp1 f mode
1545792987.141506172, face tracking, off
1545792989.151152769, reeti turn to, 1
1545792989.151235944, 0, v
1545792991.386030429, user press, v
1545792992.679576339, exp1 f mode
1545792992.679620272, face tracking, off
1545792994.683371465, reeti turn to, 0
1545792994.683440965, 0, u
1545792996.980592237, user press, u
1545792998.722909329, exp1 f mode
1545792998.722939803, face tracking, off
1545793000.725454292, reeti turn to, 0
1545793000.725487891, 0, v
1545793002.843839008, user press, v
1545793004.415565187, exp1 f mode
1545793004.415589788, face tracking, off
1545793006.418499771, reeti turn to, 0
1545793006.418534297, 1, u
1545793008.900981489, user press, u
1545793010.312283175, exp1 f mode
1545793010.312398903, face tracking, off
1545793012.315640923, reeti turn to, 0
1545793012.315727626, 1, u
1545793014.557090014, user press, u
1545793016.253866420, exp1 f mode
1545793016.253899161, face tracking, off
1545793018.256520536, reeti turn to, 0
1545793018.256558493, 0, u
1545793020.645426469, user press, u
1545793021.964590069, exp1 f mode
1545793021.964690791, face tracking, off
1545793023.967648740, reeti turn to, 0
1545793023.967683267, 1, v
1545793026.182586652, user press, v
1545793027.692424644, Reeti takes a break
1545793067.587566354, Reeti standby
1545793068.874791297, exp1 d mode
1545793068.878691817, face tracking, on
1545793070.882741255, reeti turn to, 1
1545793070.882792401, 1, u
1545793073.397918502, user press, u
1545793074.906418788, exp1 d mode
1545793074.912142206, face tracking, on
1545793076.915998839, reeti turn to, 0
1545793076.916050624, 1, v
1545793079.140993824, user press, v
1545793080.953245209, exp1 d mode
1545793080.956252792, face tracking, on
1545793082.959578002, reeti turn to, 0
1545793082.959623104, 1, u
1545793085.102141339, user press, u
1545793086.620220145, exp1 d mode
1545793086.623099742, face tracking, on
1545793088.626833540, reeti turn to, 0
1545793088.627006175, 0, v
1545793090.646180515, user press, v
1545793092.253215815, exp1 d mode
1545793092.256589420, face tracking, on
1545793094.259697204, reeti turn to, 0
1545793094.259736657, 0, v
1545793096.511024867, user press, v
1545793098.129070127, exp1 d mode
1545793098.135837048, face tracking, on
1545793100.142700794, reeti turn to, 1
1545793100.142905896, 0, v
1545793102.569189166, user press, v
1545793104.062548885, exp1 d mode
